Id;Titulo;Consola;America;Europa;Japon;Otro
1637;Boxer's Road;PlayStation;2,06;2,5;0,12;1,47
1638;Mortal Kombat 3;Super Nintendo;1,52;2,3;3,6;0,71
1639;Medal of Honor: Frontline;XBox;1,64;3,06;2,16;0,07
1640;Crash: Mind Over Mutant;Nintendo DS;0,32;2,34;1,83;2,78
1641;Battle Dodge Ball;Super Nintendo;2,08;1,01;4,17;1,03
1642;Captain Tsubasa: New Kick Off;Nintendo DS;0,03;2,52;1,22;1,69
1643;Assassin's Creed Chronicles: China;PlayStation 4;3,04;3,47;2,35;2,45
1644;Rocket Power: Beach Bandits;GameBoy Color;2,16;0,33;1,18;1,82
1645;We Love Golf!;Nintendo Wii;1,94;3,22;1,93;0,77
1646;Deadly Duck;Atari 2600;2,22;1,26;0,8;1,13
1647;San Goku Shi Taisen DS;Nintendo DS;0,24;1,93;2,7;2,15
1648;Sesame Street: Cookie's Counting Carnival;Nintendo DS;0,08;1,83;1,86;1,94
1649;Discovery Kids: Dolphin Discovery;Nintendo DS;0,01;1,4;2,12;2,25
1650;Primal Rage;PlayStation;2,73;2,09;0,43;1,93
1651;Disney's The Haunted Mansion;GameBoy Color;1,42;0,29;2,88;2,9
1652;World Series of Poker;GameBoy Color;2,41;0,38;2,28;2,04
1653;Momotarou Dentetsu 11;GameBoy Color;1,58;0,06;1,99;2,43
1654;Smart Girl's Playhouse;Nintendo DS;0,01;2,04;1,64;1,79
1655;Namco Museum Vol.1;PlayStation;1,81;2,2;0,82;1,29
1656;Sword Art Online: Game Director's Edition;PlayStation 4;2,56;1,59;2,6;1,47
1657;Toy Soldiers: War Chest;PlayStation 4;1,93;2,74;1,1;0,8
1658;Tiger Woods PGA Tour 2004;XBox;1,2;1,54;1,06;0,15
1659;Whiteout;XBox;1,37;1,78;2,58;0,53
1660;Mr. Do!'s Castle;Atari 2600;2;0,59;1,02;1,22
1661;Spider-Man;Atari 2600;1,44;0,83;1,04;0,6
1662;Thor: God of Thunder;XBox 360;1,86;1,41;1,57;2,66
1663;Sin and Punishment: Star Successor;Nintendo Wii;1,99;2,08;2,46;2,04
1664;All Star Cheer Squad;Nintendo Wii;1,98;2,32;1,96;1,74
1665;Wiffle Ball Advance;Nintendo DS;0,07;2,91;1,4;2,83
1666;World Series Baseball;XBox;2,03;2,7;2,32;0,62
1667;Mobile Suit Gundam;Sega Saturn;2,64;2,54;1,63;0,25
1668;Metal Gear Solid V: Ground Zeroes;PlayStation 4;1,62;2,08;1,61;2,44
1669;2 Games in 1: Sonic Pinball Party & Columns Crown;GameBoy Advance;2,3;1,88;2,32;1,5
1670;Buck Bumble;Nintendo 64;2,76;3,11;3,27;2,85
1671;Let's Play Garden;Nintendo Wii;1,98;2,63;2,04;2,2
1672;Puzzle Chronicles;Nintendo DS;0,19;1,69;1,83;1,69
1673;Smarty Pants;Nintendo Wii;2,51;2,74;1,47;2,49
1674;Mortal Kombat: Tournament Edition;GameBoy Advance;2,97;1,54;2,63;2,31
1675;Kenyuu Densetsu Yaiba;Super Nintendo;1,66;2,02;3,32;1,67
1676;The Legend of Zelda: A Link to the Past;GameBoy Advance;2,18;1,41;1,27;1,59
1677;Sentimental Graffiti 2;Sega Dreamcast;1,16;1,14;2,08;1,09
1678;Reader Rabbit 1st Grade;Nintendo Wii;1,89;2,73;2,44;2,16
1679;ChuChu Rocket!;GameBoy Advance;2,44;1,4;1,65;2,39
1680;Mega Man 2;Nintendo;3,99;3,23;0,03;0,02
1681;FIFA Soccer 2004;XBox;1,69;2,97;2,03;0,7
1682;Summon Night;Nintendo DS;0,07;1,25;2,68;2,66
1683;Iggy's Reckin' Balls;Nintendo 64;3,57;2,86;3,24;3,33
1684;Sega GT Online;XBox;2,26;1,53;1,12;0,43
1685;TrackMania Turbo: Build to Race;Nintendo DS;0,04;2,95;1,77;2,08
1686;Madden NFL 08;GameBoy Color;2,74;0,11;2,37;2,66
1687;Dying Light;PlayStation 4;1,64;1,63;1,63;2,41
1688;Backyard NFL Football;GameBoy Color;1,62;0,06;3,08;2,59
1689;Turok: Evolution;GameBoy Advance;1,77;1,6;2,64;1,85
1690;SD Gundam G Century;PlayStation;1,68;2,32;0,09;1,64
1691;Transworld Snowboarding;XBox;1,44;1,59;2,19;0,51
1692;Hoshigami: Ruining Blue Earth;PlayStation;3,37;2,09;0,63;1,18
1693;Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono;Sega Saturn;1,94;2,68;1,72;0,07
1694;Baja: Edge of Control;XBox 360;1,94;1,44;2,35;1,96
1695;Geist;GameBoy Color;2,41;0,45;1,22;2,52
1696;Handball 16;PlayStation 4;2,46;2,5;1,91;2,41
1697;Let's Paint;Nintendo Wii;3,19;2,42;2,61;2,34
1698;Vigilante 8: 2nd Offense;Nintendo 64;2,69;3,2;3,12;2,75
1699;Medal of Honor: Rising Sun;XBox;2,6;2,26;2,2;0,13
1700;WTA Tour Tennis;XBox;1,61;2,13;1,99;0,17
1701;The Conduit;Nintendo Wii;2,07;3;1,82;2,91
1702;NBA Hoopz;PlayStation;1,75;1,95;0,75;2
1703;Classic NES Series: Bomberman;GameBoy Advance;1,64;3,25;1,86;2,07
1704;BoomBots;PlayStation;2,29;1,54;0,34;2,36
1705;RedCard 20-03;GameBoy Color;3,13;0,13;2,71;1,64
1706;The Fairly Odd Parents: Game Boy Advance Video Volume 2;GameBoy Advance;2,49;1,9;1,67;2,64
1707;Pac-Man World Rally;GameBoy Color;2,14;0,38;1,86;2,53
1708;Rocky: Legends;XBox;2,01;1,9;1,53;0,19
1709;Capcom's Soccer Shootout;Super Nintendo;2,98;1,01;2,97;1,08
1710;Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou;Nintendo DS;0,1;2,29;2,4;1,22
1711;AMF Bowling World Lanes;Nintendo Wii;2,12;2,71;2,13;2,26
1712;uDraw Studio;Nintendo Wii;1,17;3,31;1,93;2,38
1713;NBA Starting Five;XBox;2,21;1,69;1,92;0,18
1714;Final Fantasy XIV: A Realm Reborn;PlayStation 4;1,73;2,5;1,59;2,31
1715;Final Fantasy X/X-2 HD Remaster;PlayStation 4;2,18;1,98;1,2;1,96
1716;Rabbids Invasion: The Interactive TV Show;PlayStation 4;2,99;1,99;1,68;2,92
1717;Bust-A-Move '99;Nintendo 64;3,2;3,29;4,27;2,53
1718;All-Star Baseball 2002;GameBoy Color;2,33;0,06;2,38;1,85
1719;Now! That's What I Call Music: Dance & Sing;Nintendo Wii;2,18;1,83;1,7;2,19
1720;Quest 64;Nintendo 64;2,76;3,01;3,03;3,23
1721;Championship Pony;Nintendo DS;0,38;2,74;2;1,61
1722;Rogue Ops;GameBoy Color;0,9;0,17;1,87;1,73
1723;Mega Man;Nintendo;2,96;3,65;0,29;0,17
1724;Battlefield 4;PlayStation 4;2,12;1,63;1,8;1,67
1725;Dark Messiah of Might and Magic Elements;XBox 360;2,94;2,01;2,45;3,05
1726;Scene It? Box Office Smash;XBox 360;1,16;2,23;1,45;2,08
1727;ESPN MLS ExtraTime 2002;GameBoy Color;1,07;0,12;2,59;1,84
1728;Earthworm Jim 3D;Nintendo 64;3,43;3,32;3,78;2,98
1729;Fade to Black;PlayStation;2,05;2,24;0,14;2,68
1730;Mortal Kombat: Deadly Alliance;XBox;2,31;2,21;2,25;0,35
1731;Ford Mustang: The Legend Lives;XBox;2,81;2,03;2,33;0,05
1732;7 Days to Die;PlayStation 4;2,2;1,12;1,89;2,57
1733;Yoshi;GameBoy;1,97;0,02;1,49;0,27
1734;True Crime: New York City;XBox;1,79;3,41;3,21;0,48
1735;Jikkyou Powerful Major League;GameBoy Color;1,84;0,44;2,32;2,35
1736;Pokemon Snap;Nintendo 64;3,22;2,98;3,09;4,05
1737;Back to the Future: The Game;PlayStation 4;2,7;1,84;3,07;2,05
1738;Final Fantasy I & II: Dawn of Souls;GameBoy Advance;1,42;2,65;1,65;2,66
1739;Frogger;Atari 2600;1,71;1,16;0,44;0,73
1740;Dino Crisis 3;XBox;2,66;1,12;1,18;0,08
1741;The SpongeBob SquarePants Movie;GameBoy Color;1,32;0,25;2,05;2,33
1742;Fireblade;GameBoy Color;2,48;0,1;2,18;2,06
1743;Alien's Return;Atari 2600;2,17;0,47;1,04;0,84
1744;Van Helsing;XBox;2,6;2,5;2,46;0,21
1745;George of the Jungle and the Search for the Secret;Nintendo Wii;1,58;2,46;2,23;2,78
1746;Mortal Kombat 3;PlayStation;1,82;1,03;1,34;2,17
1747;LEGO Indiana Jones 2: The Adventure Continues;XBox 360;1,74;3,02;2,3;2,67
1748;All-Star Baseball 2004;GameBoy Color;1,22;0,07;2,9;2,21
1749;The Lord of the Rings: The Fellowship of the Ring;XBox;2,9;2,57;1,92;0,16
1750;Rugby Challenge 3;PlayStation 4;2,21;1,27;1,55;1,27
1751;Divinity: Original Sin;PlayStation 4;2,08;1,52;1,61;2,12
1752;WCW Mayhem;Nintendo 64;3,2;3,27;2,99;3,37
1753;Football Academy;Nintendo DS;0,66;2,04;2,72;1,63
1754;Alundra 2: A New Legend Begins;PlayStation;3,07;1,61;1,12;1,46
1755;Midnight Play! Pack;Nintendo DS;0,37;1,65;2,57;1,79
1756;Super Baseball Simulator 1.000;Super Nintendo;2,24;1,57;3,42;1,06
1757;Super Robot Taisen F Kanketsuhen;Sega Saturn;2,45;2,32;1,46;0,02
1758;MechAssault;XBox;1,85;2,39;1,96;0,05
1759;Nobunaga's Ambition: Sphere of Influence;PlayStation 4;2,1;3,11;2,81;1,51
1760;NBA Hangtime;Nintendo 64;2,92;3,46;3,41;3,85
1761;MotoGP 15;XBox 360;2,86;2,64;2,36;2,04
1762;Mega Man 8 Anniversary Collector's Edition;PlayStation;1,77;2,25;0,08;2,11
1763;Wreckless: ThE YaKuza MisSiOns;GameBoy Color;1,75;0,16;1,62;2,18
1764;Freaky Flyers;XBox;2,32;1,58;2,52;0,38
1765;Monopoly;Nintendo 64;3,56;3,63;3,51;2,62
1766;Tetris 2 (All region sales);GameBoy;1,69;0,13;2,78;0,23
1767;Rampo;Sega Saturn;2,13;1,57;1,95;0,05
1768;Ken Griffey Jr.'s Slugfest;Nintendo 64;3,57;3,18;3,76;2,31
1769;Myst;Sega Saturn;1,7;2,54;2,11;0,17
1770;Mega Man Soccer;Super Nintendo;2,13;1,76;3,33;0,74
1771;Meteos;Nintendo DS;0,39;1,77;2,73;2,38
1772;Brave: The Video Game;Nintendo Wii;1,44;2,7;1,36;2,8
1773;X-Men: Next Dimension;XBox;3,31;2,36;1,91;0,19
1774;Fatal Fury;Super Nintendo;1,99;1,64;3,47;1,36
1775;FlatOut 2;XBox;1,51;2,59;2,77;0,49
1776;Scooby-Doo! First Frights;Nintendo Wii;1,78;2,3;3,11;1,91
1777;Extreme-G;Nintendo 64;2,42;2,6;3,46;3,17
1778;Maximum Force;PlayStation;1,99;2,51;1,12;2
1779;Tiger Woods PGA Tour 2004;GameBoy Color;2,17;0,06;2,15;3
1780;Midnight Club II;XBox;2,71;1,56;2,02;0,13
1781;Imagine: Babyz Fashion;Nintendo DS;0,03;1,75;1,66;2,63
1782;Margot's Word Brain;Nintendo DS;0,05;2,84;1,65;2,15
1783;Katekyoo Hitman Reborn! Dream Hyper Battle! Wii;Nintendo Wii;1,33;1,4;2,61;2,38
1784;Madden NFL 15;PlayStation 4;1,73;2,04;2,41;1,7
1785;SD Gundam: Gashapon Wars;Nintendo Wii;2,18;2,29;1,89;2,3
1786;Speed Kings;XBox;1,75;2,28;2,02;0,24
1787;No Fear Downhill Mountain Biking;PlayStation;2,74;1,45;0,12;2,42
1788;NBA 2K15;XBox One;0,16;1,87;2,14;1,9
1789;Jikkyou Powerful Pro Yakyuu Wii;Nintendo Wii;2,04;2,66;2,47;1,91
1790;Tearaway Unfolded;PlayStation 4;1,17;2,17;1,51;1,84
1791;Spy Games: Elevator Mission;Nintendo Wii;1,53;1,41;2,65;1,78
1792;The Walking Dead: Season Two;PlayStation 4;1,22;1,91;1,72;2,7
1793;Wii Sports Resort;Nintendo Wii;2,85;2,32;2,46;2,07
1794;Puyo Puyo Sun 64;Nintendo 64;3,67;2,87;3,19;2,4
1795;Starshot: Space Circus Fever;Nintendo 64;3,74;2,83;3,8;2,7
1796;Tetris DX;GameBoy;2,14;0,13;2,26;0,09
1797;The Island of Dr. Frankenstein;Nintendo Wii;2,37;2,57;2,79;2,69
1798;Destruction Derby 2;PlayStation;1,77;2,16;0,13;1,61
1799;The Legend of Spyro: A New Beginning;GameBoy Color;2,69;0,11;2,69;2,13
1800;Outlaw Golf;GameBoy Color;2,63;0,02;2,27;2,4
1801;Nettou! Powerful Koushien;Nintendo DS;0,82;2,03;2,56;1,53
1802;World Destruction League: Thunder Tanks;PlayStation;2,54;1,49;0,05;2,01
1803;RealSports Volleyball;Atari 2600;1,6;0,73;1,52;1,08
1804;Zoids Dash;Nintendo DS;0,02;2,7;1,57;1,79
1805;NHL 15;XBox One;0,14;2,09;0,94;1,73
1806;The Cat in the Hat;GameBoy Advance;2,38;2,24;2,34;1,7
1807;Dance Dance Revolution Extra Mix;PlayStation;2,58;2,27;0,28;2,68
1808;Ride;PlayStation 4;2,66;2,5;1,66;2,6
1809;Zone of the Enders HD Collection;XBox 360;1,37;1,99;1,63;1,76
1810;Metal Gear Solid V: Ground Zeroes;XBox 360;2,33;1,75;2,11;2,99
1811;The King of Fighters '97;Sega Saturn;1,74;1,93;2,38;0,13
1812;DuckTales: Remastered;XBox 360;2,55;2,3;2,17;2,45
1813;Broken Sword 5: The Serpent's Curse;XBox One;0,18;2,26;3,07;2,19
1814;Majin Tensei;Super Nintendo;2,02;1,57;3,65;0,51
1815;Tokyo Friend Park II DS;Nintendo DS;0,36;1,96;2,65;1,73
1816;Project CARS;PlayStation 4;2,65;1,88;0,99;1,5
1817;James Bond 007: Legends;XBox 360;3,03;1,52;2,41;2,17
1818;Classic NES Series: The Legend of Zelda;GameBoy Advance;2,64;1,29;1,9;1,12
1819;Tiny Tank;PlayStation;2,69;3,41;0,11;1,27
1820;Sébastien Loeb Rally Evo;XBox One;0,18;2;2,16;2,24
1821;Super Mario Advance;GameBoy Advance;1,84;1,99;1,58;2,46
1822;Power Pro Kun Pocket 9;Nintendo DS;0,85;1,5;1,49;2,33
1823;Barbie Groovy Games;GameBoy Advance;1,62;2,08;1,23;1,47
1824;NBA Street V3;XBox;2,22;1,55;2,64;0,01
1825;Kanzen Chuuki Pro Yakyuu Greatest Nine;Sega Saturn;1,77;2,04;1,3;0,28
1826;Donkey Kong Country 2: Diddy's Kong Quest;Super Nintendo;1,61;2,79;3,68;1,59
1827;Road Rash 64;Nintendo 64;3,11;3,33;3,32;3,65
1828;Hamster Tarou;GameBoy;1,8;0,31;2,33;0,04
1829;The Story of Noah's Ark;Nintendo DS;0,24;2,83;1,52;1,76
1830;Tomb Raider: Legend;GameBoy Color;1,73;0,38;2,29;2,2
1831;Gotcha Force;GameBoy Color;2,65;0,23;1,93;2,51
1832;Rudra no Hihou;Super Nintendo;1,34;1,74;3,71;1,01
1833;Sonic Adventure 2 Battle;GameBoy Color;2,57;0,1;1,9;2,3
1834;Shadow Tower;PlayStation;2,25;2,77;0,8;1,42
1835;Looney Tunes: Sheep Raider;PlayStation;2,1;1,47;0,1;1,54
1836;Rogue Trip: Vacation 2012;PlayStation;2,45;1,79;0,51;2,07
1837;Top Gear Rally 2;Nintendo 64;3,34;3,52;3,79;2,98
1838;PGA Tour 97;PlayStation;1,66;1,66;1,17;1,63
1839;Clannad;XBox 360;1,41;1,59;2,48;2,03
1840;My Word Coach;Nintendo DS;0,21;1,81;1,65;2,26
1841;NHL 2000;PlayStation;3,29;2,42;0,42;3,05
1842;Bad Boys: Miami Takedown;GameBoy Color;2,1;0,04;2,26;1,48
1843;Transformer: Rise of the Dark Spark;PlayStation 4;2,2;1,47;1,05;1,87
1844;Lost in Shadow;Nintendo Wii;2,1;2,58;1,68;1,62
1845;Doraemon Wii: Himitsu Douguou Ketteisen!;Nintendo Wii;2,54;2,31;1,88;1,85
1846;Pimp My Ride;Nintendo Wii;2,59;2,74;1,42;2,42
1847;Nike+ Kinect Training;XBox 360;1,39;1,2;2,2;2,27
1848;Bratz: Girlz Really Rock;Nintendo Wii;2,24;2,96;1,56;2,12
1849;Borderlands: The Handsome Collection;XBox One;0,06;1,81;2,85;2,72
1850;Nobunaga no Yabou DS;Nintendo DS;0,2;1,98;2,23;2,31
1851;Tak 2: The Staff of Dreams;GameBoy Color;1,48;0,06;2,92;2,56
1852;Vagrant Story;PlayStation;1,9;2,47;0,21;1,99
1853;Fatal Fury 2;Super Nintendo;2,05;1,78;3,82;0,79
1854;F-1 World Grand Prix;Nintendo 64;2,63;3,33;3,24;3,14
1855;Deadpool;PlayStation 4;1,77;1,56;1,43;1,48
1856;BurgerTime;Atari 2600;1,7;0,57;0,86;0,64
1857;Enclave;XBox;2,09;2,48;2,51;0,3
1858;Vanguard Bandits;PlayStation;2,76;2,68;0,03;2,5
1859;Radiant Silvergun;Sega Saturn;1,61;2,06;2,33;0,1
1860;Superbike 2000;PlayStation;2,14;2,48;0,36;1,24
1861;Tactics Ogre: Let Us Cling Together;Super Nintendo;1,92;1,15;3,98;1,12
1862;Record of Agarest War;XBox 360;2,41;1,97;2,6;1,77
1863;Arena Football;XBox;2,32;1,46;1,71;0,15
1864;Mar Heaven: Karudea no Akuma;Nintendo DS;0,08;2,57;1,81;2,75
1865;Robotron X;PlayStation;1,93;2,63;0,06;2,49
1866;Mega Man Zero 2;GameBoy Advance;2,26;2,3;2,2;2
1867;Conflict: Vietnam;XBox;2,37;2,41;1,96;0,17
1868;Bloody Roar II;PlayStation;2,34;1,73;0,24;1,52
1869;Blazer Drive;Nintendo DS;0,03;2,65;1,89;1,19
1870;Moto Racer 2;PlayStation;1,82;1,92;0,12;3,07
1871;Harvest Moon GB;GameBoy;2,11;0,05;2,19;0,29
1872;SeaWorld Adventure Parks: Shamu's Deep Sea Adventure;GameBoy Color;1,17;0,11;2,08;1,7
1873;Shining Soul II;GameBoy Advance;0,36;2,08;2,14;1,66
1874;Piglet's Big Game;GameBoy Color;2,65;0,13;2;1,75
1875;Corvette;XBox;1,87;1,59;1,98;0,07
1876;Toy Shop;Nintendo DS;0,76;2,21;2,26;2,61
1877;Freeway;Atari 2600;1,99;1,53;0,82;1,47
1878;Star Wars Starfighter: Special Edition;XBox;1,73;2,45;2,59;0,1
1879;Razor Freestyle Scooter;GameBoy Advance;1,86;1,28;2,04;1,99
1880;Final Fantasy Tactics Advance;GameBoy Advance;1,42;1,34;1,8;1,47
1881;Atelier Sophie: The Alchemist of the Mysterious Book;PlayStation 4;2,24;2,41;1,3;2,5
1882;Taito Legends;XBox;2,04;2,65;1,6;0,11
1883;Scooby-Doo! Classic Creep Capers;Nintendo 64;3,93;2,8;3,55;3,29
1884;King's Field (Japan);PlayStation;1,91;1,68;0,19;1,77
1885;My Word Coach;Nintendo Wii;1,08;1,94;1,43;2,48
1886;Donkey Kong Country 3: Dixie Kong's Double Trouble!;Super Nintendo;2,45;2,31;3,41;0,96
1887;Warriors Orochi 2;XBox 360;1,71;2,49;2,32;2,92
1888;Grand Slam Tennis 2;XBox 360;2,02;2,74;2,75;3,04
1889;Destiny: The Collection;PlayStation 4;2,51;2,9;1,71;2,02
1890;Burnout Revenge;XBox 360;1,58;1,89;1,86;2,31
1891;Backyard Sports: Sandlot Sluggers;XBox 360;2,25;1,71;1,65;2,42
1892;Game of Thrones (Telltale);XBox One;0,03;2,21;1,87;1,65
1893;Jacqueline Wilson's Tracy Beaker: The Game;Nintendo DS;0,49;2,18;2,06;2,36
1894;NCAA Football 06;XBox;2,45;2,02;1,84;0,52
1895;Super Fruit Fall;Nintendo Wii;1,6;1,77;1,38;2,44
1896;My Baby 3 & Friends;Nintendo DS;0,09;2,05;1,56;1,39
1897;Sonic Mega Collection Plus;XBox;1,32;2,16;2,57;0,15
1898;Super Bubble Pop;XBox;2,36;2,66;1,8;0,62
1899;Polaris;Atari 2600;2,04;0,8;0,42;1,3
1900;Tongari Boushi to Mahou no Otana;Nintendo DS;0,15;1,6;1,39;1,8
1901;ZhuZhu Pets 2: Featuring The Wild Bunch;Nintendo DS;0,81;2,21;3,17;2,04
1902;Payday 2;PlayStation 4;1,9;2,13;1,29;2,18
1903;Pac-Man World 3;GameBoy Color;3,03;0,09;2,31;1,34
1904;Zettai Onkan Otoda Master;Nintendo DS;0,98;2,32;2,64;2,98
1905;Fable III;XBox 360;1,17;2,86;1,53;2,25
1906;Hunter: The Reckoning Redeemer;XBox;2,13;1,43;1,65;0,39
1907;Kung Fu Chaos;XBox;2,65;1,85;2,01;0,37
1908;Madden NFL 07;GameBoy Color;1,87;0,25;2,75;2,43
1909;Namco Museum;GameBoy Color;1,62;0,14;2,02;2,27
1910;Sonic Riders;XBox;2,51;3,55;2,42;0,37
1911;Mega Man 8 Anniversary Collector's Edition;Sega Saturn;1,72;1,32;1,82;0,11
1912;High Heat Major League Baseball 2004;XBox;2,01;1,58;2,04;0,01
1913;Gegege no Kitarou 2: Youkai Gundan no Chousen;Nintendo;3,66;2,59;0,01;0,28
1914;Ghosts 'n Goblins;Nintendo;2,84;2,99;0,13;0,1
1915;Harry Potter and the Half-Blood Prince;Nintendo Wii;2,29;2,8;1,19;2,4
1916;Minecraft;PlayStation 4;2,68;2,21;2,21;2,08
1917;Dragon Quest Monsters: Caravan Heart;GameBoy Advance;1,85;1,41;2,55;2,6
1918;XGIII: Extreme G Racing;GameBoy Color;1,37;0,17;1,51;2,18
1919;Call of Duty 4: Modern Warfare;XBox 360;2,94;1,99;2,84;2,96
1920;NBA 2K2;GameBoy Color;1,93;0,4;2,48;1,55
1921;Drone Tactics;Nintendo DS;0,21;2,8;2,37;2,06
1922;Irozuki Tingle no Koi no Balloon Trip;Nintendo DS;0,62;3,15;2,89;2,2
1923;Rhapsody: A Musical Adventure;PlayStation;2,58;2,19;0,24;2,93
1924;X2: Wolverine's Revenge;GameBoy Color;2,72;0,07;2,04;2,48
1925;WCW vs. nWo: World Tour;Nintendo 64;2,92;3,43;3,64;2,67
1926;Injustice: Gods Among Us;PlayStation 4;2,69;1,82;0,95;2,81
1927;Midway Arcade Treasures;GameBoy Color;2,29;0,35;1,52;2,54
1928;WWE 2K16;XBox One;0,67;2,56;2,51;2,38
1929;World of Outlaws: Sprint Cars;XBox 360;1,73;2,1;1,81;1,71
1930;Tokyo Xanadu eX+;PlayStation 4;1;2,53;1,25;2,82
1931;Superman: The New Superman Adventures;Nintendo 64;3,38;3,74;3,4;3,21
1932;River Raid;Atari 2600;1,78;0,85;0,54;0,31
1933;Defiance;XBox 360;2,34;2,27;2,29;2,01
1934;Motor Trend presents Lotus Challenge;XBox;1,67;1,87;2,9;0,09
1935;America's Next Top Model;Nintendo Wii;2,26;3,25;1;2,13
1936;Carnival;Atari 2600;1,76;1,02;1,19;0,53
1937;Klonoa Beach Volleyball;PlayStation;3;2,62;0,26;2,39
1938;College Slam;PlayStation;1,89;1,82;0,03;1,67
1939;Ballistic: Ecks vs. Sever;GameBoy Advance;1,5;2,2;3,18;2,26
1940;Guitar Hero III: Legends of Rock;XBox 360;2,89;1,75;2,21;2,12
1941;Aegis of Earth: Protonovus Assault;PlayStation 4;2,08;2,38;1,48;2,31
1942;Etrian Odyssey III: The Drowned City;Nintendo DS;0,13;1,87;2,21;2,84
1943;Iron Phoenix;XBox;2,31;1,86;1,8;0,18
1944;Viz;Nintendo 64;3,18;3,66;3,63;3,45
1945;Army Men: Sarge's Heroes;Nintendo 64;3,32;3,4;3,46;3,5
1946;Astroblast;Atari 2600;1,57;1,28;0,12;0,91
1947;Burstrick: Wake Boarding!!;PlayStation;2,86;1,84;0,06;1,36
1948;Shrek 2;GameBoy Color;2,41;0,19;1,79;2,32
1949;Baldur's Gate: Dark Alliance;GameBoy Advance;1,66;1,54;2,8;1,98
1950;Assetto Corsa;PlayStation 4;2,42;2,58;1,51;2,47
1951;Assassin's Creed Chronicles;PlayStation 4;1,92;1,58;0,87;2,9
1952;JSRF: Jet Set Radio Future;XBox;2,15;3,22;1,59;0,11
1953;Titanic Mystery;Nintendo Wii;1,7;2,74;1,44;2,5
1954;Midway Presents Arcade's Greatest Hits: The Atari Collection 1;PlayStation;2,31;2,78;0,46;2,44
1955;Assault Suit Leynos;PlayStation 4;1,72;1,65;1,68;1,94
1956;JASF: Jane's Advanced Strike Fighters;XBox 360;2,54;2,5;2,19;2,56
1957;PopCap Hits!;XBox 360;2,75;2,14;1,65;2,29
1958;Blitz: The League;XBox;2,24;1,88;0,85;0,06
1959;Urban Chaos;PlayStation;1,13;2,08;0,55;2,15
1960;Madden NFL 2005;Nintendo DS;0,06;1,73;2,62;0,92
1961;Crazy Taxi;GameBoy Color;1,15;0,04;1,21;2,67
1962;MotoGP 15;XBox One;0,1;1,9;2,16;1,94
1963;Dark Summit;GameBoy Color;2,56;0,02;2,1;1,3
1964;Need for Speed: ProStreet;Nintendo Wii;1,9;2,58;2,73;2,79
1965;Pac-Man;Nintendo;2,8;3,37;0,08;0,12
1966;Neighborhood Games;Nintendo Wii;2,8;3,48;1,35;1,45
1967;Disney Infinity 2.0: Marvel Super Heroes;PlayStation 4;2,95;2,35;0,96;2,35
1968;Tony Hawk's Pro Skater 3;Nintendo 64;3,36;3,27;4,25;3,55
1969;Marvel Super Heroes;Sega Saturn;0,89;2,08;2,06;0,08
1970;Jikkyou J-League Perfect Striker;Nintendo 64;3,46;2,92;2,57;3,61
1971;Close Combat: First to Fight;XBox;2,3;1,93;1,33;0,29
1972;Sonic Heroes;XBox;2,63;1,89;1,94;0,06
1973;Drawn to Life: The Next Chapter;Nintendo Wii;2,77;3,19;1,84;2,27
1974;Disney's Chicken Little: Ace In Action;Nintendo DS;0,23;2,2;1,69;1,91
1975;Blazing Angels: Squadrons of WWII;Nintendo Wii;2,09;1,79;1,63;3,1
1976;Rocket: Robot on Wheels;Nintendo 64;3,79;3,55;3,28;3,21
1977;The Fifth Element;PlayStation;2,94;1,73;0,27;2,17
1978;Still Life;XBox;2,17;1,78;2,77;0,38
1979;Dragon Age Origins: Awakening;XBox 360;2,25;2,49;2,04;2,17
1980;Home Run King;GameBoy Color;2,43;0,24;2,7;1,45
1981;NHL 2K3;XBox;2,2;2,66;2,96;0,04
1982;Terraria;PlayStation 4;1,94;2,46;1,32;1,94
1983;Burnout 2: Point of Impact;GameBoy Color;2,23;0,1;3,29;1,89
1984;Chess;PlayStation;2,84;1,94;0,08;2,77
1985;Dynasty Warriors: Eiketsuden;PlayStation 4;2,03;2,65;1,3;2,36
1986;Sakura Taisen 2 - Kimi, Shinitamou Koto Nakare;Sega Saturn;1,82;2,73;2,34;0,14
1987;Call of Duty: Black Ops;Nintendo Wii;1,85;2,73;2,19;1,82
1988;The Croods: Prehistoric Party!;Nintendo Wii;2,04;2,74;1,77;2,63
1989;Classic NES Series: Castlevania;GameBoy Advance;1,82;2,48;2,53;2,49
1990;Kirby's Dream Land;GameBoy;2,52;0,15;1,84;0,54
1991;Garfield: The Search for Pooky;GameBoy Advance;1,54;1,92;2,01;2,65
1992;SplashDown;XBox;2,36;2,14;2,94;0,28
1993;Bakugan: Battle Brawlers;Nintendo Wii;2,41;3,04;2,21;2,06
1994;Glover;Nintendo 64;3,15;3,76;3,19;2,69
1995;We Ski;Nintendo Wii;2,05;2,15;2,33;1,15
1996;Donkey Kong Jungle Beat;GameBoy Color;1,2;0,33;1,87;2,31
1997;Galactic Attack;Sega Saturn;1,77;2,05;1,46;0,68
1998;GunGriffon II;Sega Saturn;1,44;1,1;1,51;0,02
1999;Prince of Persia: The Two Thrones;XBox;1,84;1,97;2,03;0,13
